50*#
START: 20231127 01:10:44 US/Central END: 20231128 01:10:44 US/Central
50*#Date: 20231127 08:34:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:35:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:36:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:37:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:38:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:39:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:40:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:41:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:42:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:43:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:44:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:45:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:46:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:47:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:48:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:49:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:50:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:51:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:52:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:53:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:54:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:55:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:56:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:57:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:58:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 08:59:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:00:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:01:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:02:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:03:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:04:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:05:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:06:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:07:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:08:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:09:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:10:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:11:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:12:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:13:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:14:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:15:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:16:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:17:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:18:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:19:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:20:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:21:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:22:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:23:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:24:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:25:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:26:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:27:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:28:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:29:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:30:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:31:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:32:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:33:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:34:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:35:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:36:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:37:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:38:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:39:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:40:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:41:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:42:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:43:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:44:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:45:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:46:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:47:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:48:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:49:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:50:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:51:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:52:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:53:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:54:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:55:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:56:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:57:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:58:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 09:59:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:00:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:01:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:02:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:03:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:04:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:05:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:06:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:07:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:08:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:09:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:10:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:11:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:12:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:13:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:14:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:15:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:16:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:17:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:18:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:19:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:20:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:21:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:22:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:23:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:24:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:25:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:26:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:27:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:28:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:29:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:30:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:31:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:32:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:33:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:34:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:35:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:36:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:37:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:38:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:39:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:40:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:41:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:42:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:43:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:44:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:45:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:46:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:47:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:48:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:49:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:50:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:51:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:52:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:53:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:54:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:55:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:56:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:57:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:58:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 10:59:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:00:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:01:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:02:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:03:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:04:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:05:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:06:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:07:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:08:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:09:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:10:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:11:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:12:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:13:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:14:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:15:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:16:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:17:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:18:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:19:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:20:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:21:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:22:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:23:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:24:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:25:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:26:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:27:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:28:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:29:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:30:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:31:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:32:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:33:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:34:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:35:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:36:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:37:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:38:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:39:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:40:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:41:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:42:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:43:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:44:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:45:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:46:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:47:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:48:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:49:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:50:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:51:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:52:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:53:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:54:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:55:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:56:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:57:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:58:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 11:59:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 12:00:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 12:01:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 12:02:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 12:03:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
Date: 20231127 12:04:00 US/Central, O: 38.5, H: 38.5, L: 38.5, C 38.5
