Date: 20240912 16:30:00 Europe/Helsinki, O: 222.59, H: 222.59, L: 221.64, C 221.71
Date: 20240912 16:31:00 Europe/Helsinki, O: 221.71, H: 222.09, L: 221.35, C 221.66
Date: 20240912 16:32:00 Europe/Helsinki, O: 221.66, H: 221.9, L: 221.52, C 221.87
Date: 20240912 16:33:00 Europe/Helsinki, O: 221.87, H: 222.07, L: 221.64, C 221.99
Date: 20240912 16:34:00 Europe/Helsinki, O: 221.99, H: 221.99, L: 221.51, C 221.64
Date: 20240912 16:35:00 Europe/Helsinki, O: 221.64, H: 221.77, L: 221.14, C 221.35
Date: 20240912 16:36:00 Europe/Helsinki, O: 221.35, H: 221.45, L: 221.03, C 221.09
Date: 20240912 16:37:00 Europe/Helsinki, O: 221.09, H: 221.67, L: 220.93, C 221.6
Date: 20240912 16:38:00 Europe/Helsinki, O: 221.6, H: 221.73, L: 221.4, C 221.42
Date: 20240912 16:39:00 Europe/Helsinki, O: 221.42, H: 221.46, L: 220.81, C 220.94
Date: 20240912 16:40:00 Europe/Helsinki, O: 220.94, H: 221.49, L: 220.92, C 221.31
Date: 20240912 16:41:00 Europe/Helsinki, O: 221.31, H: 221.38, L: 220.92, C 221.01
Date: 20240912 16:42:00 Europe/Helsinki, O: 221.01, H: 221.28, L: 220.96, C 221.19
Date: 20240912 16:43:00 Europe/Helsinki, O: 221.19, H: 221.23, L: 220.74, C 220.81
Date: 20240912 16:44:00 Europe/Helsinki, O: 220.81, H: 221.1, L: 220.65, C 221.04
Date: 20240912 16:45:00 Europe/Helsinki, O: 221.04, H: 221.16, L: 220.96, C 221.03
Date: 20240912 16:46:00 Europe/Helsinki, O: 221.03, H: 221.1, L: 220.71, C 220.72
Date: 20240912 16:47:00 Europe/Helsinki, O: 220.72, H: 220.76, L: 220.36, C 220.5
Date: 20240912 16:48:00 Europe/Helsinki, O: 220.5, H: 220.64, L: 220.42, C 220.55
Date: 20240912 16:49:00 Europe/Helsinki, O: 220.55, H: 220.63, L: 219.93, C 220.0
Date: 20240912 16:50:00 Europe/Helsinki, O: 220.0, H: 220.04, L: 219.81, C 219.99
Date: 20240912 16:51:00 Europe/Helsinki, O: 219.99, H: 220.45, L: 219.97, C 220.44
Date: 20240912 16:52:00 Europe/Helsinki, O: 220.44, H: 220.56, L: 220.29, C 220.49
Date: 20240912 16:53:00 Europe/Helsinki, O: 220.49, H: 220.77, L: 220.42, C 220.76
Date: 20240912 16:54:00 Europe/Helsinki, O: 220.76, H: 220.91, L: 220.75, C 220.84
Date: 20240912 16:55:00 Europe/Helsinki, O: 220.84, H: 220.84, L: 220.47, C 220.53
Date: 20240912 16:56:00 Europe/Helsinki, O: 220.53, H: 220.85, L: 220.41, C 220.85
Date: 20240912 16:57:00 Europe/Helsinki, O: 220.85, H: 220.9, L: 220.71, C 220.87
Date: 20240912 16:58:00 Europe/Helsinki, O: 220.87, H: 220.87, L: 220.75, C 220.83
Date: 20240912 16:59:00 Europe/Helsinki, O: 220.83, H: 221.11, L: 220.81, C 221.03
Date: 20240912 17:00:00 Europe/Helsinki, O: 221.03, H: 221.22, L: 220.93, C 221.16
Date: 20240912 17:01:00 Europe/Helsinki, O: 221.16, H: 221.39, L: 221.13, C 221.27
Date: 20240912 17:02:00 Europe/Helsinki, O: 221.27, H: 221.4, L: 221.22, C 221.37
Date: 20240912 17:03:00 Europe/Helsinki, O: 221.37, H: 221.52, L: 221.27, C 221.46
Date: 20240912 17:04:00 Europe/Helsinki, O: 221.46, H: 221.46, L: 221.24, C 221.31
Date: 20240912 17:05:00 Europe/Helsinki, O: 221.31, H: 221.46, L: 221.14, C 221.46
Date: 20240912 17:06:00 Europe/Helsinki, O: 221.46, H: 221.71, L: 221.46, C 221.62
Date: 20240912 17:07:00 Europe/Helsinki, O: 221.62, H: 221.65, L: 221.47, C 221.54
Date: 20240912 17:08:00 Europe/Helsinki, O: 221.54, H: 221.61, L: 221.32, C 221.53
Date: 20240912 17:09:00 Europe/Helsinki, O: 221.53, H: 221.64, L: 221.43, C 221.53
Date: 20240912 17:10:00 Europe/Helsinki, O: 221.53, H: 221.67, L: 221.44, C 221.57
Date: 20240912 17:11:00 Europe/Helsinki, O: 221.57, H: 221.71, L: 221.51, C 221.51
Date: 20240912 17:12:00 Europe/Helsinki, O: 221.51, H: 221.71, L: 221.48, C 221.66
Date: 20240912 17:13:00 Europe/Helsinki, O: 221.66, H: 221.76, L: 221.6, C 221.74
Date: 20240912 17:14:00 Europe/Helsinki, O: 221.74, H: 221.96, L: 221.72, C 221.94
Date: 20240912 17:15:00 Europe/Helsinki, O: 221.94, H: 222.09, L: 221.82, C 222.04
Date: 20240912 17:16:00 Europe/Helsinki, O: 222.04, H: 222.15, L: 221.99, C 222.08
Date: 20240912 17:17:00 Europe/Helsinki, O: 222.08, H: 222.29, L: 222.05, C 222.22
Date: 20240912 17:18:00 Europe/Helsinki, O: 222.22, H: 222.3, L: 222.21, C 222.26
Date: 20240912 17:19:00 Europe/Helsinki, O: 222.26, H: 222.3, L: 222.22, C 222.24
Date: 20240912 17:20:00 Europe/Helsinki, O: 222.24, H: 222.37, L: 222.14, C 222.31
Date: 20240912 17:21:00 Europe/Helsinki, O: 222.31, H: 222.36, L: 222.22, C 222.28
Date: 20240912 17:22:00 Europe/Helsinki, O: 222.28, H: 222.3, L: 222.13, C 222.18
Date: 20240912 17:23:00 Europe/Helsinki, O: 222.18, H: 222.22, L: 222.1, C 222.19
Date: 20240912 17:24:00 Europe/Helsinki, O: 222.19, H: 222.24, L: 222.09, C 222.19
Date: 20240912 17:25:00 Europe/Helsinki, O: 222.19, H: 222.38, L: 222.15, C 222.2
Date: 20240912 17:26:00 Europe/Helsinki, O: 222.2, H: 222.29, L: 222.19, C 222.25
Date: 20240912 17:27:00 Europe/Helsinki, O: 222.25, H: 222.29, L: 222.04, C 222.05
Date: 20240912 17:28:00 Europe/Helsinki, O: 222.05, H: 222.2, L: 221.97, C 222.15
Date: 20240912 17:29:00 Europe/Helsinki, O: 222.15, H: 222.18, L: 222.05, C 222.07
Date: 20240912 17:30:00 Europe/Helsinki, O: 222.07, H: 222.09, L: 221.97, C 222.04
Date: 20240912 17:31:00 Europe/Helsinki, O: 222.04, H: 222.21, L: 222.02, C 222.08
Date: 20240912 17:32:00 Europe/Helsinki, O: 222.08, H: 222.13, L: 221.98, C 222.1
Date: 20240912 17:33:00 Europe/Helsinki, O: 222.1, H: 222.22, L: 222.04, C 222.19
Date: 20240912 17:34:00 Europe/Helsinki, O: 222.19, H: 222.38, L: 222.13, C 222.28
Date: 20240912 17:35:00 Europe/Helsinki, O: 222.28, H: 222.3, L: 221.07, C 221.44
Date: 20240912 17:36:00 Europe/Helsinki, O: 221.44, H: 221.51, L: 221.26, C 221.47
Date: 20240912 17:37:00 Europe/Helsinki, O: 221.47, H: 221.74, L: 221.46, C 221.72
Date: 20240912 17:38:00 Europe/Helsinki, O: 221.72, H: 221.89, L: 221.66, C 221.69
Date: 20240912 17:39:00 Europe/Helsinki, O: 221.69, H: 221.75, L: 221.42, C 221.54
Date: 20240912 17:40:00 Europe/Helsinki, O: 221.54, H: 221.8, L: 221.38, C 221.74
Date: 20240912 17:41:00 Europe/Helsinki, O: 221.74, H: 221.75, L: 221.46, C 221.56
Date: 20240912 17:42:00 Europe/Helsinki, O: 221.56, H: 221.8, L: 221.55, C 221.75
Date: 20240912 17:43:00 Europe/Helsinki, O: 221.75, H: 221.89, L: 221.72, C 221.89
Date: 20240912 17:44:00 Europe/Helsinki, O: 221.89, H: 221.97, L: 221.78, C 221.85
Date: 20240912 17:45:00 Europe/Helsinki, O: 221.85, H: 222.0, L: 221.76, C 221.98
Date: 20240912 17:46:00 Europe/Helsinki, O: 221.98, H: 222.03, L: 221.86, C 221.95
Date: 20240912 17:47:00 Europe/Helsinki, O: 221.95, H: 222.05, L: 221.9, C 222.03
Date: 20240912 17:48:00 Europe/Helsinki, O: 222.03, H: 222.06, L: 221.9, C 221.98
Date: 20240912 17:49:00 Europe/Helsinki, O: 221.98, H: 222.1, L: 221.98, C 222.06
